Date,02D001_Cl (ppm wt.),02D001_H2S (ppm wt.),02D001_Hydrogen Sulfide (ppm wt.),02D001_pH @25oC,02D001_Sulfide (ppm wt.),02D001_Total Iron (ppm),
28/04/2019,,,,,,0.54,
28/04/2019,35.66,,,,,,
29/04/2019,38.64,,,8.45,,0.07,
29/04/2019,41.05,,,8.38,,0.21,
30/04/2019,34.42,,,7.64,,,
1/05/2019,43.72,,,5.95,,1.98,
1/05/2019,27.05,,,,,0.02,
2/05/2019,19.68,,,6.26,,,
3/05/2019,16.28,,,5.93,,,
3/05/2019,16.83,,,,,,
4/05/2019,14.82,,,6.21,,,
4/05/2019,21.37,,,,,,
5/05/2019,21.38,,,5.68,,,
6/05/2019,16.29,,,7.69,,5.00,
7/05/2019,17.13,,,6.34,,,
7/05/2019,1,,,,,0.33,
8/05/2019,18.47,,,6.09,,0.42,
9/05/2019,15.79,,,5.89,,,
9/05/2019,,,,,,,
10/05/2019,14.62,,,9.08,,,
10/05/2019,13.96,,,8.87,,0.02,
11/05/2019,14.21,,,8.58,,,
12/05/2019,1.07,,,7.89,,,
13/05/2019,10.20,,,5.87,,0.49,
14/05/2019,9.98,,,6.62,,,
15/05/2019,13.92,,,7.74,,0.06,
16/05/2019,2.45,,,8.62,,,
17/05/2019,10.92,,,7.79,,,
18/05/2019,9.54,,,6.41,,,
19/05/2019,6.40,,,7.74,,,
20/05/2019,30.55,,,6.06,,,
20/05/2019,41.12,,,,,,
21/05/2019,,,,,,0.24,
21/05/2019,19.87,,,6.43,,,
22/05/2019,29.18,,,7.94,,0.02,
23/05/2019,38.26,,,5.96,,,
24/05/2019,28.39,,,7.61,,,
24/05/2019,,,,,,0.02,
24/05/2019,27.34,,,,,3.72,
25/05/2019,34.33,,,6.55,,,
25/05/2019,46.33,,,,,0.37,
26/05/2019,40.83,,,6.17,,,
26/05/2019,,,,,,0.65,
26/05/2019,34.52,,,,,,
27/05/2019,12.80,,,8.51,,0.02,
27/05/2019,8.15,,,,,,
28/05/2019,9.70,,,6.20,,,
29/05/2019,12.73,,,6.34,,0.27,
29/05/2019,13.63,,,,,,
30/05/2019,10.18,,,7.44,,,
31/05/2019,9.00,,,6.80,,,
1/06/2019,72.01,,,4.78,,,
1/06/2019,,,,,,1.88,
1/06/2019,44.78,,,,,0.11,
