Date,02D001_Cl,02D001_H2S,02D001_Hydrogen Sulfide,02D001_pH,02D001_Sulfide,02D001_Total_Iron
7/1/2019,10.37,0,0,0,0,0
8/1/2019,12.52,0,0,7.91,0,0
9/1/2019,15.62,0,0,7.8,0,0.22
9/1/2019,12.08,0,0,0,0,0
10/1/2019,9.15,0,0,8.11,0,0
10/1/2019,12.18,0,0,0,0,0
11/1/2019,13.38,0,0,7.65,0,0
12/1/2019,10.2,0,0,7.07,0,0
13/01/2019,10.53,0,0,6.82,0,0
14/01/2019,16.18,0,0,6.92,0,0.73
15/01/2019,12.6,0,0,6.59,0,0
16/01/2019,8.99,0,0,6.74,0,1.4
17/01/2019,11.26,0,0,6.85,0,0
17/01/2019,9.1,0,0,0,0,0.31
18/01/2019,12.75,0,0,7.02,0,0
18/01/2019,11.67,0,0,0,0,0
19/01/2019,44.55,0,0,4,0,0
19/01/2019,50.64,0,0,7.06,0,0
19/01/2019,56.24,0,0,7.29,0,0
20/01/2019,1,0,0,7.36,0,0
21/01/2019,19.27,0,0,8.08,0,0.24
21/01/2019,9.33,0,0,0,0,0
22/01/2019,10.22,0,0,8.21,0,0
23/01/2019,20.31,0,0,5.22,0,2.59
23/01/2019,36.81,0,0,0,0,6.54
24/01/2019,29.6,0,0,5.19,0,0
24/01/2019,0,0,0,0,0,2.2
24/01/2019,21.64,0,0,7.8,0,0.3
25/01/2019,16.37,0,0,8.04,0,0
25/01/2019,19.24,0,0,8.06,0,0.16
26/01/2019,22.18,0,0,7.09,0,0
26/01/2019,16.96,0,0,0,0,1.29
27/01/2019,16.08,0,0,7.07,0,0
27/01/2019,0,0,0,0,0,0.46
29/01/2019,168,0,0,3.82,0,0
29/01/2019,0,0,0,0,0,74.7
29/01/2019,39.19,0,0,0,0,0
30/01/2019,30.4,0,0,0,0,0
30/01/2019,34.9,0,0,7.17,0,1.53
30/01/2019,28.25,0,0,6.93,0,1.73
30/01/2019,26.32,0,0,0,0,1.16
31/01/2019,21.11,0,0,0,0,0.92
31/01/2019,18.11,0,0,8.12,0,0
31/01/2019,0,0,0,0,0,0.59
31/01/2019,16.75,0,0,0,0,0.45
1/2/2019,40.98,0,0,5.9,0,0
1/2/2019,16.88,0,0,7.5,0,1.97
2/2/2019,5.04,0,0,7.55,0,0
2/2/2019,0,0,0,0,0,0.28
3/2/2019,1,0,0,8.41,0,0
4/2/2019,8.9,0,0,7.98,0,0.22
4/2/2019,16.9,0,0,0,0,0.31
5/2/2019,0,0,0,0,0,0.06
5/2/2019,18.18,0,0,8.2,0,0
5/2/2019,21.89,0,0,0,0,0.02
5/2/2019,29.6,0,0,0,0,0.17
6/2/2019,10.86,0,0,8.22,0,2.08
6/2/2019,1,0,0,8.01,0,0.23
7/2/2019,38.46,0,0,8.7,0,0
7/2/2019,5.04,0,0,7.94,0,0.09
8/2/2019,2.8,0,0,8.11,0,0
9/2/2019,7.65,0,0,7.91,0,0
9/2/2019,0,0,0,0,0,0.02
10/2/2019,3.38,0,0,7.78,0,0
11/2/2019,36.35,0,0,7.31,0,0.16
11/2/2019,35.85,0,0,0,0,0
12/2/2019,31.86,0,0,5.58,0,0
12/2/2019,41.7,0,0,0,0,0.8
12/2/2019,51.28,0,0,7.92,0,0.32
13/02/2019,13.68,0,0,8,0,0.03
13/02/2019,1,0,0,7.64,0,0.05
14/02/2019,13.88,0,0,7.8,0,0
14/02/2019,19.37,0,0,7.75,0,0
14/02/2019,29.37,0,0,7.74,0,0.02
15/02/2019,17.6,0,0,7.79,0,0
16/02/2019,1,0,0,7.93,0,0
16/02/2019,0,0,0,0,0,0.16
17/02/2019,5.95,0,0,7.85,0,0
18/02/2019,5.46,0,0,7.55,0,0.02
19/02/2019,8.24,0,0,7.69,0,0
20/02/2019,31.15,0,0,5.53,0,1.77
20/02/2019,26.72,0,0,0,0,0.02
21/02/2019,28.16,0,0,5.27,0,0
21/02/2019,33.43,0,0,0,0,0
21/02/2019,26.41,0,0,0,0,0
22/02/2019,35.48,0,0,7.58,0,0
22/02/2019,24.43,0,0,0,0,0
23/02/2019,27.91,0,0,7.43,0,0
23/02/2019,28.6,0,0,7.38,0,0.22
24/02/2019,33.58,0,0,7.25,0,0
24/02/2019,52.9,0,0,7.13,0,0.57
25/02/2019,23.04,0,0,7.67,0,0.11
26/02/2019,25.18,0,0,7.78,0,0
